skim_type,skim_variable,election,n_missing,complete_rate,numeric.mean
numeric,employment,2008,1268,0.656275413,0.611317637
numeric,employment,2011,27,0.991969066,0.582608696
numeric,employment,2015,56,0.986673013,0.551616015
numeric,employment,2019,86,0.97863354,0.552678345
numeric,enviro,1965,2118,0,NA
numeric,enviro,1968,2767,0,NA
numeric,enviro,1972,1296,0,NA
numeric,enviro,1974,2562,0,NA
numeric,enviro,1979,2744,0,NA
numeric,enviro,1980,1748,0,NA
numeric,enviro,1984,3377,0,NA
numeric,enviro,1988,1525,0.577445276,0.272072937
numeric,enviro,1993,1167,0.650598802,0.529337322
numeric,enviro,1997,2120,0.463155229,0.530071077
numeric,enviro,2000,2152,0.410572446,0.509839893
numeric,enviro,2004,1485,0.52722063,0.534873188
numeric,enviro,2006,3,0.999076639,0.218884781
numeric,enviro,2008,1779,0.517755489,0.55065445
numeric,enviro,2011,1854,0.448542534,0.539290451
numeric,enviro,2015,2922,0.304616849,0.503515625
numeric,enviro,2019,602,0.850434783,0.199240432
numeric,enviro_spend,1965,2118,0,NA
numeric,enviro_spend,1968,2767,0,NA
numeric,enviro_spend,1972,1296,0,NA
numeric,enviro_spend,1974,2562,0,NA
numeric,enviro_spend,1979,2744,0,NA
numeric,enviro_spend,1980,1748,0,NA
numeric,enviro_spend,1984,3377,0,NA
numeric,enviro_spend,1988,3609,0,NA
numeric,enviro_spend,1993,3340,0,NA
numeric,enviro_spend,1997,3949,0,NA
numeric,enviro_spend,2000,3651,0,NA
numeric,enviro_spend,2004,6,0.99808978,0.764433812
numeric,enviro_spend,2006,3,0.999076639,0.781115219
numeric,enviro_spend,2008,3,0.999186771,0.80168204
numeric,enviro_spend,2011,0,1,0.773944081
numeric,enviro_spend,2015,13,0.996906235,0.783719265
numeric,enviro_spend,2019,602,0.850434783,0.800759568
numeric,foreign,1965,0,1,0.016525024
numeric,foreign,1968,1,0.999638598,0.181489516
numeric,foreign,1972,0,1,0
numeric,foreign,1974,0,1,0.159250585
numeric,foreign,1979,1449,0.471938776,0.138223938
numeric,foreign,1980,36,0.979405034,0.135514019
numeric,foreign,1984,1,0.999703879,0.132405213
numeric,foreign,1988,57,0.984206151,0.123310811
numeric,foreign,1993,1321,0.604491018,0.129271917
numeric,foreign,1997,32,0.991896683,0.13071228
numeric,foreign,2000,18,0.995069844,0.137627305
numeric,foreign,2004,21,0.993314231,0.130769231
numeric,foreign,2006,1692,0.479224377,0.149004496
numeric,foreign,2008,1290,0.650311738,0.128803668
numeric,foreign,2011,40,0.98810232,0.130042143
numeric,foreign,2015,20,0.995240362,0.145145863
numeric,foreign,2019,15,0.996273292,0.149127182
numeric,household,1965,2118,0,NA
numeric,household,1968,2767,0,NA
numeric,household,1972,1296,0,NA
numeric,household,1974,2562,0,NA
numeric,household,1979,2744,0,NA
numeric,household,1980,1748,0,NA
numeric,household,1984,3377,0,NA
numeric,household,1988,3609,0,NA
numeric,household,1993,0,1,0.994011976
numeric,household,1997,0,1,0.988984553
numeric,household,2000,0,1,0.966447549
numeric,household,2004,0,1,0.990767272
numeric,household,2006,0,1,0.915820252
numeric,household,2008,1238,0.664407699,0.973684211
numeric,household,2011,0,1,0.975312314
numeric,household,2015,0,1,0.986078058
numeric,household,2019,17,0.995776398,1.313123752
numeric,ideology,1965,2118,0,NA
numeric,ideology,1968,2767,0,NA
numeric,ideology,1972,1296,0,NA
numeric,ideology,1974,2562,0,NA
numeric,ideology,1979,1,0.999635569,0.534041196
numeric,ideology,1980,1748,0,NA
numeric,ideology,1984,1508,0.553449808,0.561920813
numeric,ideology,1988,2935,0.186755334,0.538204748
numeric,ideology,1993,2461,0.263173653,0.50967008
numeric,ideology,1997,2689,0.319068119,0.533174603
numeric,ideology,2000,1742,0.522870446,0.535358827
numeric,ideology,2004,1648,0.475326329,0.512726055
numeric,ideology,2006,3249,0,NA
numeric,ideology,2008,1929,0.477094063,0.517954545
numeric,ideology,2011,1905,0.433372992,0.506108442
numeric,ideology,2015,2959,0.295811518,0.490909091
numeric,ideology,2019,1597,0.603229814,0.50407743
numeric,immigration_rates,1965,2118,0,NA
numeric,immigration_rates,1968,2767,0,NA
numeric,immigration_rates,1972,1296,0,NA
numeric,immigration_rates,1974,2562,0,NA
numeric,immigration_rates,1979,2744,0,NA
numeric,immigration_rates,1980,1748,0,NA
numeric,immigration_rates,1984,3377,0,NA
numeric,immigration_rates,1988,78,0.978387365,0.694137638
numeric,immigration_rates,1993,17,0.99491018,0.711405357
numeric,immigration_rates,1997,37,0.990630539,0.6875
numeric,immigration_rates,2000,11,0.996987127,0.609752747
numeric,immigration_rates,2004,11,0.996497931,0.551277955
numeric,immigration_rates,2006,11,0.996614343,0.532736257
numeric,immigration_rates,2008,19,0.994849553,0.544550409
numeric,immigration_rates,2011,20,0.99405116,0.579593058
numeric,immigration_rates,2015,1228,0.70775821,0.437121722
numeric,immigration_rates,2019,31,0.992298137,0.478843265
numeric,income,1965,71,0.966477809,2.81924768
numeric,income,1968,0,1,2.972894832
numeric,income,1972,236,0.817901235,2.94245283
numeric,income,1974,61,0.976190476,2.897640944
numeric,income,1979,85,0.969023324,3.058668672
numeric,income,1980,61,0.965102975,3.174866627
numeric,income,1984,211,0.937518508,3.175300063
numeric,income,1988,490,0.864228318,2.838409747
numeric,income,1993,224,0.932934132,3.111360719
numeric,income,1997,523,0.867561408,3.199065966
numeric,income,2000,444,0.878389482,2.958216402
numeric,income,2004,369,0.88252149,3.112914863
numeric,income,2006,311,0.904278239,3.134104833
numeric,income,2008,455,0.876660342,3.172850959
numeric,income,2011,386,0.885187388,2.904905914
numeric,income,2015,611,0.854593051,3.216652743
numeric,income,2019,291,0.927701863,3.040707017
numeric,income_house,1965,2118,0,NA
numeric,income_house,1968,2767,0,NA
numeric,income_house,1972,1296,0,NA
numeric,income_house,1974,2562,0,NA
numeric,income_house,1979,2744,0,NA
numeric,income_house,1980,1748,0,NA
numeric,income_house,1984,3377,0,NA
numeric,income_house,1988,3609,0,NA
numeric,income_house,1993,224,0.932934132,2.093709884
numeric,income_house,1997,523,0.867561408,2.14331582
numeric,income_house,2000,444,0.878389482,2.01340817
numeric,income_house,2004,369,0.88252149,2.185425685
numeric,income_house,2006,505,0.844567559,2.185131195
numeric,income_house,2008,354,0.904039035,2.260869565
numeric,income_house,2011,386,0.885187388,2.099798387
numeric,income_house,2015,619,0.852689196,2.003349149
numeric,income_house,2019,298,0.925962733,1.898846257
numeric,income_tertile,1965,71,0.966477809,1.677088422
numeric,income_tertile,1968,0,1,1.890856523
numeric,income_tertile,1972,236,0.817901235,2.090566038
numeric,income_tertile,1974,61,0.976190476,1.995601759
numeric,income_tertile,1979,85,0.969023324,1.844302369
numeric,income_tertile,1980,61,0.965102975,1.89626556
numeric,income_tertile,1984,211,0.937518508,1.893872394
numeric,income_tertile,1988,490,0.864228318,1.997435075
numeric,income_tertile,1993,224,0.932934132,2.043966624
numeric,income_tertile,1997,523,0.867561408,2.073263281
numeric,income_tertile,2000,444,0.878389482,1.953850951
numeric,income_tertile,2004,369,0.88252149,2.142496392
numeric,income_tertile,2006,311,0.904278239,2.198093941
numeric,income_tertile,2008,455,0.876660342,2.267470625
numeric,income_tertile,2011,386,0.885187388,2.160282258
numeric,income_tertile,2015,611,0.854593051,1.93957115
numeric,income_tertile,2019,291,0.927701863,2.032940546
numeric,income2,1965,71,0.966477809,2.0444553
numeric,income2,1968,0,1,2.316226961
numeric,income2,1972,236,0.817901235,2.94245283
numeric,income2,1974,293,0.885636222,3.202732481
numeric,income2,1979,85,0.969023324,3.058668672
numeric,income2,1980,61,0.965102975,3.174866627
numeric,income2,1984,211,0.937518508,2.672457359
numeric,income2,1988,490,0.864228318,3.292080795
numeric,income2,1993,224,0.932934132,3.035943517
numeric,income2,1997,523,0.867561408,3.129013427
numeric,income2,2000,444,0.878389482,2.890551918
numeric,income2,2004,369,0.88252149,2.928571429
numeric,income2,2006,311,0.904278239,3.042886317
numeric,income2,2008,455,0.876660342,3.322820037
numeric,income2,2011,386,0.885187388,3.030577957
numeric,income2,2015,611,0.854593051,3.120022278
numeric,income2,2019,291,0.927701863,3.040707017
numeric,inequality,1965,2118,0,NA
numeric,inequality,1968,2767,0,NA
numeric,inequality,1972,1296,0,NA
numeric,inequality,1974,2562,0,NA
numeric,inequality,1979,2744,0,NA
numeric,inequality,1980,1748,0,NA
numeric,inequality,1984,3377,0,NA
numeric,inequality,1988,3609,0,NA
numeric,inequality,1993,3340,0,NA
numeric,inequality,1997,3949,0,NA
numeric,inequality,2000,3651,0,NA
numeric,inequality,2004,3141,0,NA
numeric,inequality,2006,3249,0,NA
numeric,inequality,2008,3689,0,NA
numeric,inequality,2011,3362,0,NA
numeric,inequality,2015,1222,0.709186102,0.727684564
numeric,inequality,2019,4025,0,NA
numeric,language,1965,84,0.960339943,0.688298918
numeric,language,1968,144,0.947958077,0.727030118
numeric,language,1972,130,0.899691358,0.740994854
numeric,language,1974,17,0.993364559,0.74302554
numeric,language,1979,10,0.996355685,0.736649598
numeric,language,1980,0,1,0.754004577
numeric,language,1984,3,0.999111638,0.785714286
numeric,language,1988,0,1,0.74674425
numeric,language,1993,0,1,0.761377246
numeric,language,1997,0,1,0.758419853
numeric,language,2000,0,1,0.677348672
numeric,language,2004,0,1,0.814708691
numeric,language,2006,0,1,0.775315482
numeric,language,2008,1238,0.664407699,0.753977968
numeric,language,2011,0,1,0.748958953
numeric,language,2015,0,1,0.826273203
numeric,language,2019,1,0.999751553,0.81610338
numeric,male,1965,0,1,0.489140699
numeric,male,1968,0,1,0.50162631
numeric,male,1972,0,1,0.482253086
numeric,male,1974,0,1,0.464871194
numeric,male,1979,1,0.999635569,0.478308421
numeric,male,1980,0,1,0.483981693
numeric,male,1984,0,1,0.434409239
numeric,male,1988,0,1,0.496536437
numeric,male,1993,0,1,0.516167665
numeric,male,1997,0,1,0.469992403
numeric,male,2000,0,1,0.482607505
numeric,male,2004,0,1,0.463546641
numeric,male,2006,0,1,0.469990766
numeric,male,2008,0,1,0.462998102
numeric,male,2011,0,1,0.455681142
numeric,male,2015,0,1,0.459305093
numeric,male,2019,2,0.999503106,0.565498384
numeric,market_liberalism,1965,2118,0,NA
numeric,market_liberalism,1968,2767,0,NA
numeric,market_liberalism,1972,1296,0,NA
numeric,market_liberalism,1974,2562,0,NA
numeric,market_liberalism,1979,2744,0,NA
numeric,market_liberalism,1980,1748,0,NA
numeric,market_liberalism,1984,3377,0,NA
numeric,market_liberalism,1988,1500,0.584372402,0.570412518
numeric,market_liberalism,1993,4,0.998802395,0.45368705
numeric,market_liberalism,1997,4,0.998987085,0.509727503
numeric,market_liberalism,2000,805,0.779512462,0.572777583
numeric,market_liberalism,2004,2,0.99936326,0.521822236
numeric,market_liberalism,2006,0,1,0.484610649
numeric,market_liberalism,2008,3,0.999186771,0.50016956
numeric,market_liberalism,2011,1,0.999702558,0.510264802
numeric,market_liberalism,2015,1214,0.711089957,0.46728581
numeric,market_liberalism,2019,1135,0.718012422,0.402422145
numeric,market1,1965,2118,0,NA
numeric,market1,1968,2767,0,NA
numeric,market1,1972,1296,0,NA
numeric,market1,1974,2562,0,NA
numeric,market1,1979,2744,0,NA
numeric,market1,1980,1748,0,NA
numeric,market1,1984,3377,0,NA
numeric,market1,1988,1515,0.580216126,0.371060172
numeric,market1,1993,7,0.997904192,0.423867387
numeric,market1,1997,9,0.997720942,0.428172589
numeric,market1,2000,7,0.998082717,0.488405598
numeric,market1,2004,4,0.99872652,0.444134523
numeric,market1,2006,1,0.999692213,0.384775246
numeric,market1,2008,7,0.998102467,0.413158609
numeric,market1,2011,4,0.998810232,0.456670637
numeric,market1,2015,1215,0.710851975,0.389772347
numeric,market1,2019,1139,0.717018634,0.314622315
numeric,market2,1965,2118,0,NA
numeric,market2,1968,2767,0,NA
numeric,market2,1972,1296,0,NA
numeric,market2,1974,2562,0,NA
numeric,market2,1979,2744,0,NA
numeric,market2,1980,1748,0,NA
numeric,market2,1984,3377,0,NA
numeric,market2,1988,1532,0.57550568,0.775878671
numeric,market2,1993,1146,0.656886228,0.512648131
numeric,market2,1997,802,0.79691061,0.629885605
numeric,market2,2000,800,0.78088195,0.663539109
numeric,market2,2004,30,0.990448902,0.602057216
numeric,market2,2006,16,0.995075408,0.585446953
numeric,market2,2008,33,0.991054486,0.588006018
numeric,market2,2011,30,0.99107674,0.56520108
numeric,market2,2015,1229,0.707520228,0.545156408
numeric,market2,2019,1153,0.713540373,0.491295265
numeric,mip,1965,218,0.89707271,8.433684211
numeric,mip,1968,239,0.913624864,8.282832278
numeric,mip,1972,1296,0,NA
numeric,mip,1974,762,0.702576112,6.746666667
numeric,mip,1979,821,0.700801749,8.742069683
numeric,mip,1980,395,0.77402746,5.943089431
numeric,mip,1984,1073,0.682262363,6.044270833
numeric,mip,1988,675,0.812967581,14.18609407
numeric,mip,1993,447,0.866167665,7.320082959
numeric,mip,1997,850,0.784755634,7.741206841
numeric,mip,2000,762,0.791290058,7.460713049
numeric,mip,2004,370,0.88220312,6.494767232
numeric,mip,2006,411,0.873499538,7.175828048
numeric,mip,2008,1553,0.579018704,6.622659176
numeric,mip,2011,766,0.772159429,7.768489985
numeric,mip,2015,509,0.878867206,7.025453561
numeric,mip,2019,390,0.90310559,5.972764787
numeric,national_retrospective,1965,2118,0,NA
numeric,national_retrospective,1968,2767,0,NA
numeric,national_retrospective,1972,1296,0,NA
numeric,national_retrospective,1974,2562,0,NA
numeric,national_retrospective,1979,2744,0,NA
numeric,national_retrospective,1980,1748,0,NA
numeric,national_retrospective,1984,3377,0,NA
numeric,national_retrospective,1988,29,0.991964533,0.605027933
numeric,national_retrospective,1993,0,1,0.396107784
numeric,national_retrospective,1997,3,0.999240314,0.549923974
numeric,national_retrospective,2000,2,0.999452205,0.629076459
numeric,national_retrospective,2004,4,0.99872652,0.483264265
numeric,national_retrospective,2006,2,0.999384426,0.640437327
numeric,national_retrospective,2008,1,0.999728924,0.314804772
numeric,national_retrospective,2011,1,0.999702558,0.576019042
numeric,national_retrospective,2015,5,0.99881009,0.275315702
numeric,national_retrospective,2019,8,0.998012422,0.437888972
numeric,non_charter_language,1965,3,0.998583569,0.038297872
numeric,non_charter_language,1968,0,1,0.046982291
numeric,non_charter_language,1972,92,0.929012346,0.031561462
numeric,non_charter_language,1974,4,0.99843872,0.125488663
numeric,non_charter_language,1979,1,0.999635569,0.112650383
numeric,non_charter_language,1980,18,0.989702517,0.102890173
numeric,non_charter_language,1984,0,1,0.015102162
numeric,non_charter_language,1988,75,0.97921862,0.105829089
numeric,non_charter_language,1993,7,0.997904192,0.118511851
numeric,non_charter_language,1997,37,0.990630539,0.12908998
numeric,non_charter_language,2000,12,0.996713229,0.111569112
numeric,non_charter_language,2004,8,0.99745304,0.110437281
numeric,non_charter_language,2006,13,0.995998769,0.105686032
numeric,non_charter_language,2008,1255,0.659799404,0.108874281
numeric,non_charter_language,2011,50,0.9851279,0.106280193
numeric,non_charter_language,2015,21,0.99500238,0.113609184
numeric,non_charter_language,2019,6,0.998509317,0.109231152
numeric,occupation,1965,308,0.854579792,3.457458564
numeric,occupation,1968,1298,0.530899892,3.395507148
numeric,occupation,1972,630,0.513888889,3.064564565
numeric,occupation,1974,1158,0.548009368,3.13960114
numeric,occupation,1979,1115,0.593658892,3.044198895
numeric,occupation,1980,681,0.610411899,2.924086223
numeric,occupation,1984,823,0.756292567,3.229835552
numeric,occupation,1988,538,0.850928235,2.846955389
numeric,occupation,1993,598,0.820958084,2.765134938
numeric,occupation,1997,1348,0.658647759,2.78200692
numeric,occupation,2000,3651,0,NA
numeric,occupation,2004,1352,0.569563833,2.575181666
numeric,occupation,2006,1353,0.583564174,2.543776371
numeric,occupation,2008,2098,0.43128219,2.496543055
numeric,occupation,2011,1693,0.496430696,2.547633313
numeric,occupation,2015,2897,0.310566397,2.294252874
numeric,occupation,2019,2470,0.386335404,2.452733119
numeric,occupation3,1965,2118,0,NA
numeric,occupation3,1968,2767,0,NA
numeric,occupation3,1972,1296,0,NA
numeric,occupation3,1974,2562,0,NA
numeric,occupation3,1979,1045,0.619169096,3.576221307
numeric,occupation3,1980,643,0.63215103,3.458823529
numeric,occupation3,1984,823,0.756292567,3.706734534
numeric,occupation3,1988,337,0.906622333,3.540342298
numeric,occupation3,1993,463,0.861377246,3.523809524
numeric,occupation3,1997,1212,0.693086857,3.318962368
numeric,occupation3,2000,3651,0,NA
numeric,occupation3,2004,1279,0.592804839,3.29538131
numeric,occupation3,2006,1278,0.606648199,3.296803653
numeric,occupation3,2008,2555,0.30740038,3.358906526
numeric,occupation3,2011,1621,0.51784652,3.295232625
numeric,occupation3,2015,2690,0.359828653,3.402777778
numeric,occupation3,2019,2237,0.444223602,3.389261745
numeric,party_id,1965,447,0.788951841,1.487731897
numeric,party_id,1968,440,0.840983014,1.432746025
numeric,party_id,1972,374,0.711419753,1.701735358
numeric,party_id,1974,173,0.932474629,1.255336961
numeric,party_id,1979,253,0.907798834,1.372541148
numeric,party_id,1980,104,0.940503432,1.416058394
numeric,party_id,1984,713,0.788865857,1.784534535
numeric,party_id,1988,1364,0.622055971,1.791091314
numeric,party_id,1993,896,0.731736527,1.412847791
numeric,party_id,1997,1013,0.743479362,1.449591281
numeric,party_id,2000,1671,0.542317173,1.297979798
numeric,party_id,2004,257,0.918178924,1.002427184
numeric,party_id,2006,908,0.720529394,1.411789833
numeric,party_id,2008,899,0.756302521,1.516487455
numeric,party_id,2011,761,0.773646639,1.657054979
numeric,party_id,2015,1437,0.65801999,1.383363472
numeric,party_id,2019,1867,0.536149068,1.78081557
numeric,personal_retrospective,1965,18,0.991501416,0.622142857
numeric,personal_retrospective,1968,5,0.998192989,0.58743664
numeric,personal_retrospective,1972,1296,0,NA
numeric,personal_retrospective,1974,2562,0,NA
numeric,personal_retrospective,1979,2744,0,NA
numeric,personal_retrospective,1980,1748,0,NA
numeric,personal_retrospective,1984,3377,0,NA
numeric,personal_retrospective,1988,17,0.995289554,0.579760579
numeric,personal_retrospective,1993,8,0.99760479,0.367797119
numeric,personal_retrospective,1997,5,0.998733857,0.435471602
numeric,personal_retrospective,2000,12,0.996713229,0.519098653
numeric,personal_retrospective,2004,9,0.99713467,0.469508301
numeric,personal_retrospective,2006,6,0.998153278,0.526056121
numeric,personal_retrospective,2008,7,0.998102467,0.472705052
numeric,personal_retrospective,2011,11,0.996728138,0.474336019
numeric,personal_retrospective,2015,29,0.993098525,0.455907021
numeric,personal_retrospective,2019,17,0.995776398,0.492889222
numeric,pol_interest,1965,2118,0,NA
numeric,pol_interest,1968,2767,0,NA
numeric,pol_interest,1972,1296,0,NA
numeric,pol_interest,1974,2562,0,NA
numeric,pol_interest,1979,2744,0,NA
numeric,pol_interest,1980,1748,0,NA
numeric,pol_interest,1984,3377,0,NA
numeric,pol_interest,1988,3609,0,NA
numeric,pol_interest,1993,1,0.999700599,0.660901468
numeric,pol_interest,1997,46,0.988351481,0.537688957
numeric,pol_interest,2000,51,0.986031224,0.540805556
numeric,pol_interest,2004,21,0.993314231,0.561153846
numeric,pol_interest,2006,36,0.988919668,0.591627762
numeric,pol_interest,2008,1254,0.66007048,0.599301848
numeric,pol_interest,2011,8,0.997620464,0.64994037
numeric,pol_interest,2015,1224,0.708710138,0.680188046
numeric,pol_interest,2019,1136,0.717763975,0.705745933
numeric,political_efficacy,1965,11,0.994806421,0.46179402
numeric,political_efficacy,1968,0,1,0.484248886
numeric,political_efficacy,1972,1296,0,NA
numeric,political_efficacy,1974,1309,0.489071038,0.420291301
numeric,political_efficacy,1979,1404,0.488338192,0.425031095
numeric,political_efficacy,1980,1748,0,NA
numeric,political_efficacy,1984,21,0.993781463,0.359629519
numeric,political_efficacy,1988,3609,0,NA
numeric,political_efficacy,1993,1135,0.660179641,0.344444444
numeric,political_efficacy,1997,2,0.999493543,0.324888101
numeric,political_efficacy,2000,3,0.999178307,0.390556469
numeric,political_efficacy,2004,6,0.99808978,0.415576821
numeric,political_efficacy,2006,2,0.999384426,0.399676625
numeric,political_efficacy,2008,9,0.997560314,0.414379529
numeric,political_efficacy,2011,6,0.998215348,0.401544497
numeric,political_efficacy,2015,1221,0.709424084,0.426632562
numeric,political_efficacy,2019,4025,0,NA
numeric,postgrad,1965,2118,0,NA
numeric,postgrad,1968,2767,0,NA
numeric,postgrad,1972,1296,0,NA
numeric,postgrad,1974,2562,0,NA
numeric,postgrad,1979,2744,0,NA
numeric,postgrad,1980,1748,0,NA
numeric,postgrad,1984,3377,0,NA
numeric,postgrad,1988,83,0.97700194,0.044526375
