"","election","male","occupation","employment","union_both","region","union","degree","quebec","age","religion","vote","income","redistribution","market_liberalism","immigration_rates","traditionalism2","turnout","mip","personal_retrospective","efficacy_external","efficacy_external2","efficacy_internal","political_efficacy","foreign","non_charter_language","language","party_id","income_tertile","income2","sector","occupation3","ideology","traditionalism","trad1","trad2","market1","market2","education","national_retrospective","vote3","postgrad","enviro","pol_interest","satdem","satdem2","household","promise","trust","inequality","efficacy_rich","region2","region3","female","vote2","ndp","liberal","conservative","bloc","green","ndp_vs_right","liberal_vs_right","bloc_vs_right","ndp_vs_liberal","left","right","religion2","catholic","no_religion","occupation2","occupation4","working_class","working_class2","working_class3","working_class4","upper_class","upper_class2","rich","poor","1965","1968","1972","1974","1979","1980","1984","1988","1993","1997","2000","2004","2006","2008","2011","2015","2019","Period","redistribution_reversed","economic","social"
"11","1965",1,NA,1,NA,1,NA,0,0,71,2,2,1,NA,NA,NA,NA,1,15,1,0,0,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,NA,NA,NA,0,NA,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"12","1965",0,4,1,1,1,1,0,0,24,2,2,2,NA,NA,NA,NA,1,6,0,NA,1,1,1,0,0,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13","1965",1,5,1,NA,1,NA,0,0,36,2,2,2,NA,NA,NA,NA,1,15,0.5,0,NA,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"14","1965",0,5,1,NA,1,NA,0,0,58,2,1,1,NA,NA,NA,NA,1,6,0.5,1,0,0,0.333333333333333,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"15","1965",0,5,1,NA,1,NA,0,0,50,2,1,2,NA,NA,NA,NA,1,15,0.5,1,0,0,0.333333333333333,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"16","1965",1,5,1,NA,1,NA,0,0,21,1,1,2,NA,NA,NA,NA,1,4,0.5,1,1,1,1,0,0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"17","1965",0,5,1,NA,1,NA,0,0,70,2,2,2,NA,NA,NA,NA,1,4,0.5,1,0,0,0.333333333333333,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"18","1965",0,3,1,1,1,1,0,0,44,2,1,2,NA,NA,NA,NA,1,9,1,NA,NA,1,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Routine_Nonmanual",NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"19","1965",1,5,1,0,1,0,0,0,32,1,1,1,NA,NA,NA,NA,1,4,0.5,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"20","1965",1,5,1,0,1,0,0,0,22,1,1,NA,NA,NA,NA,NA,1,11,0.5,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"21","1965",0,5,1,NA,1,NA,0,0,35,2,1,2,NA,NA,NA,NA,1,9,1,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"22","1965",1,5,1,NA,1,NA,0,0,67,2,2,1,NA,NA,NA,NA,1,9,0.5,0,0,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"23","1965",1,5,1,NA,1,NA,0,0,52,2,2,2,NA,NA,NA,NA,1,0,0.5,0,0,0,0,0,0,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"24","1965",0,5,1,1,1,1,0,0,36,2,1,1,NA,NA,NA,NA,1,6,1,0,0,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"25","1965",0,4,1,NA,1,NA,0,0,44,1,2,2,NA,NA,NA,NA,1,8,0.5,0,1,0,0.333333333333333,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"26","1965",1,5,1,1,1,1,0,0,33,1,NA,3,NA,NA,NA,NA,0,6,1,1,0,0,0.333333333333333,0,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"27","1965",0,3,1,1,1,1,0,0,26,2,1,2,NA,NA,NA,NA,1,6,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Routine_Nonmanual",NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"28","1965",0,5,1,1,1,1,0,0,50,2,2,2,NA,NA,NA,NA,1,6,0.5,0,0,0,0,0,0,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"29","1965",0,2,1,NA,1,NA,0,0,38,1,2,1,NA,NA,NA,NA,1,NA,0.5,1,0,0,0.333333333333333,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Catholic",1,0,"Managers",NA,0,0,NA,0,1,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"30","1965",1,4,1,NA,1,NA,0,0,61,1,1,1,NA,NA,NA,NA,1,6,0.5,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"31","1965",1,3,0,NA,1,NA,0,0,48,1,1,1,NA,NA,NA,NA,1,6,0.5,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Routine_Nonmanual",NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"32","1965",0,4,1,1,1,1,0,0,51,1,2,2,NA,NA,NA,NA,1,6,0.5,1,1,0,0.666666666666667,0,0,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"33","1965",1,3,1,0,1,0,0,0,55,2,2,4,NA,NA,NA,NA,1,12,1,0,1,1,0.666666666666667,0,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Routine_Nonmanual",NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34","1965",1,2,1,NA,1,NA,0,0,28,1,1,4,NA,NA,NA,NA,1,8,1,1,1,1,1,0,0,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Catholic",1,0,"Managers",NA,0,0,NA,0,1,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35","1965",1,5,1,NA,1,NA,0,0,56,2,2,1,NA,NA,NA,NA,1,8,0,0,0,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"36","1965",0,5,1,NA,1,NA,0,0,56,2,1,1,NA,NA,NA,NA,1,6,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"37","1965",1,NA,1,NA,1,NA,0,0,71,2,2,1,NA,NA,NA,NA,1,11,0.5,0,0,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,NA,NA,NA,0,NA,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","1965",1,4,1,NA,1,NA,0,0,NA,1,0,2,NA,NA,NA,NA,1,12,1,1,1,1,1,0,0,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,"Catholic",1,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"39","1965",0,1,1,0,1,0,0,0,60,2,2,4,NA,NA,NA,NA,1,16,1,1,1,1,1,0,0,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Professionals",NA,0,0,NA,0,1,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"40","1965",1,4,1,NA,1,NA,0,0,55,2,1,2,NA,NA,NA,NA,1,6,0.5,1,1,0,0.666666666666667,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"41","1965",0,NA,1,NA,1,NA,0,0,70,2,1,1,NA,NA,NA,NA,1,12,0,1,0,0,0.333333333333333,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,NA,NA,NA,0,NA,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"42","1965",1,1,1,0,1,0,1,0,31,2,2,2,NA,NA,NA,NA,1,7,1,1,1,0,0.666666666666667,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Professionals",NA,0,0,NA,0,1,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"43","1965",0,3,1,0,1,0,0,0,56,2,1,2,NA,NA,NA,NA,1,9,0.5,0,1,1,0.666666666666667,1,0,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Routine_Nonmanual",NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"44","1965",0,1,1,NA,1,NA,0,0,35,2,3,1,NA,NA,NA,NA,1,6,0.5,1,1,0,0.666666666666667,0,0,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"NDP",1,0,0,0,0,1,NA,NA,1,1,0,"Protestant",0,0,"Professionals",NA,0,0,NA,0,1,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"45","1965",1,4,0,NA,1,NA,0,0,57,0,2,2,NA,NA,NA,NA,1,4,0.5,0,0,0,0,0,0,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"None",0,1,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"46","1965",1,4,1,1,1,1,0,0,41,2,1,2,NA,NA,NA,NA,1,6,1,0,0,0,0,0,0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"47","1965",0,NA,1,NA,1,NA,0,0,38,2,1,2,NA,NA,NA,NA,1,6,0.5,1,1,1,1,0,0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",1,"Liberal",0,1,0,0,0,NA,1,NA,0,1,0,"Protestant",0,0,NA,NA,NA,0,NA,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"48","1965",1,2,1,0,1,0,0,0,43,2,0,4,NA,NA,NA,NA,1,6,1,1,1,1,1,0,0,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,"Protestant",0,0,"Managers",NA,0,0,NA,0,1,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"49","1965",1,NA,1,NA,1,NA,0,0,66,2,NA,1,NA,NA,NA,NA,0,6,0.5,NA,1,0,0.5,0,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protestant",0,0,NA,NA,NA,0,NA,0,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"50","1965",1,4,1,NA,1,NA,0,0,44,2,2,3,NA,NA,NA,NA,1,6,1,1,1,0,0.666666666666667,0,0,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atlantic","East",0,"Conservative",0,0,1,0,0,0,0,0,NA,0,1,"Protestant",0,0,"Working_Class",NA,1,1,NA,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
